anaconda	Anaconda is a software distribution of R and Python. It is also a repository of open-source Python and R programs for data science, packaged using the conda package manager. Anaconda also creates Anaconda Navigator, a suite of desktop tools including an IDE and the Jupyter Notebook application.
anchor	In a regular expression, a symbol that fixes a position without matching characters. `^` matches the start of the line, while `$` matches the end of the line and `\b` matches a break between word and non-word characters.
anonymous function	A function that has not been assigned a name. Anonymous functions are usually quite short, and are usually defined where they are used, e.g., as callbacks. In Python, these are called lambda functions and are created through use of the lambda reserved word.
anti join	A join that keeps rows from table A whose keys do *not* match keys in table B.
append mode	To add data to the end of an existing file instead of overwriting the previous contents of that file. Overwriting is the default, so most programming languages require programs to be explicit about wanting to append instead.
application programming interface	A set of functions and procedures provided by one software library or web service through which another application can communicate with it. An API is not the code, the database, or the server: it's the access point.
argument	The term should not be confused with, and is not a synonym for, parameter. An argument is one of possibly several expressions that are passed to a function. It is the actual value that is passed. Parameters and arguments are distinct, but related concepts. Parameters are variables and arguments are the values assigned to those variables.
arithmetic mean	See mean. Calculated from a set of n numbers by summing those numbers, and dividing the result by n. See mean.
artificial intelligence (ai)	Intelligence demonstrated by machines, as opposed to humans or other animals. AI can be exhibited through perceiving, synthesizing and inference of information. Example tasks include natural language processing, computer vision, and [machine learning] (#machine_learning).
ascii	A standard way to represent the characters commonly used in the Western European languages as 7- or 8-bit integers, now superseded by Unicode.
assertion	A Boolean expression that must be true at a certain point in a program. Assertions may be built into the language (e.g., Python's `assert` statement) or provided as functions (e.g., R's `stopifnot`). They are often used in testing, but are also put in production code to check that it is behaving correctly. In many languages, assertions should not be used to perform data validation as they may be silently dropped by compilers and interpreters under optimization conditions. Using assertions for data validation can therefore introduce security risks. Unlike many languages, R does not have an `assert` statement which can be disabled, and so use of a package such as `assertr` for data validation does not create security holes.
associative array	See dictionary.
asynchronous	Not happening at the same time. In programming, an asynchronous operation is one that runs independently of another, or that starts at one time and ends at another.
attention mechanism	A technique that allows models to focus on relevant parts of the input when processing each token.
attribute	A name-value pair associated with an object, used to store metadata about the object such as an array's dimensions.
auto-completion	A feature that allows the user to finish a word or code quickly by pressing the TAB key to list possible words or code from which the user can select.
autocorrelation	The degree of similarity between observations in the same series but separated by a time interval (known as the "lag"). Autocorrelation analysis can be used to gain insight into time series datasets by detecting repeating patterns that may be partially concealed by random noise, among other uses.
automatic variable	A variable that is automatically given a value in a build rule. For example, Make automatically assigns the name of a rule's target to the automatic variable `$@`. Automatic variables are frequently used when writing pattern rules.
backpropagation	An algorithm that iteratively adjusts the weights used in a neural network. Backpropagation is often used to implement gradient descent.
backward-compatible	A property of a system, hardware or software, that allows for interoperability with an older legacy system, or with input designed for such a system. For example, a function written in Python 3 that can be run successfully with Python 2 is backward-compatible.
base class depends on subclass	When a parent class reaches down to reference its own children, the inheritance tree grows upside down. Change a leaf, redeploy the trunk.
base r	The basic functions making up the R language. The base packages can be found in `src/library` and are not updated outside of R; their version numbers follow R version numbering. Base packages are installed and loaded with R, while priority packages are installed with base R but must be loaded prior to use.
bayes' rule	See Bayes' Theorem.
bayes' theorem	An equation for calculating the probability that something is true if something related to it is true. If P(X) is the probability that X is true and P(X`|`Y) is the probability that X is true given Y is true, then P(X`|`Y) = P(Y`|`X) * P(X) / P(Y).
bayesian network	A graph that represents the relationships among random variables for a given problem.
bias	A statistic is biased if it is systematically or consistently different from the parameter it is supposed to estimate.
big data	Any data that until recently was too big for most people to work with on a single computer.
binary	A system which can have one of two possible states. In computing, often represented as being in the state 0 or 1. Represented in Boolean logic as false (0) or true (1). Computers are built upon systems which store 0s and 1s as bits.
binary expression	An expression which has two parameters and takes two arguments, such as `1 + 2`.
binary large object	Data that is stored in a database without being interpreted in any way, such as an audio file. The term is also now used to refer to data transferred over a network or stored in a version control repository as uninterpreted bits.
binary operator in name	If a method has "and" or "or" in its name, it's confessing to doing two things, and that confession is an invitation to split it in half.
binomial distribution	A probability distribution that arises when there are a fixed number of trials, each of which can produce one of two outcomes, and the probability of those outcomes does not change. As the number of trials increases, the binomial distribution approximates a normal distribution.
bit	A unit of information representing alternatives, yes/no, true/false. In computing, a state of either 0 or 1.
block comment	A comment that spans multiple lines. Block comments may be marked with special start and end symbols, like `/*` and `*/` in C and its descendents, or each line may be prefixed with a marker like `#`.
boilerplate	Standard text that is included in legal contracts, licenses, and so on. Also parts of the source code that have to be repeated very often to get basic functionality. In object-oriented programs these segments are used to encapsulate variables of objects. Some languages require a lot of these statements and are termed boilerplate languages, e.g. Java, which means that they are frequently generated automatically or by using auto-completion.
boolean	Relating to a variable or data type that can have either a logical value of true or false. Named for George Boole, a 19th century mathematician. Binary systems, like all computers, are built on this foundation of systems of logical evaluations between states of true and false, 1 or 0.
boolean blindness	Does filter(true) mean take or drop? When a function operates on raw booleans, it destroys the information about what those values represent. The type system knows; the reader doesn't.
branch	See Git branch.
branch-per-feature workflow	A common strategy for managing work with Git and other version control systems in which a separate branch is created for work on each new feature or each bug fix and merged when that work is completed. This isolates changes from one another until they are completed.
breadcrumbs	A set of supplementary navigational links included in many websites, usually placed at the top of the page. Breadcrumbs show the users where the current page lies in the website; the term comes from a fairy tale in which children left a trail of breadcrumbs behind themselves so that they could find their way home.
breadth first	To go through a nested data structure such as a tree by exploring all of one level, then going on to the next level and so on, or to explore a problem by examining the first step of each possible solution, and then trying the next step for each.
browser cache	A place where web browsers keep copies of previously retrieved files (web pages, data files) in order to save time when they're requested again. Sometimes, issues may arise if there is a newer version of the file online, but the browser doesn't notice it.
bug	A missing or undesirable feature of a piece of software; the digital equivalent of a weed.
bug report	A collection of files, logs, or related information that describes either an unexpected output of some code or program, or an unexpected error or warning. This information is used to help find and fix a bug in the program or code.
bug tracker	A system that tracks and manages reported bugs for a software program, to make it easier to address and fix the bugs.
build manager	A program that keeps track of how files depend on one another and runs commands to update any files that are out-of-date. Build managers were invented to compile only those parts of programs that had changed, but are now often used to implement workflows in which plots depend on results files, which in turn depend on raw data files or configuration files.
build recipe	The part of a build rule that describes how to update something that has fallen out-of-date.
build rule	A specification for a build manager that describes how some files depend on others and what to do if those files are out-of-date.
build target	The file(s) that a build rule will update if they are out-of-date compared to their dependencies.
byte	A unit of digital information that typically consists of eight binary digits, or bits.
byte code	A set of instructions designed to be executed efficiently by an interpreter.
cache	Something that stores copies of data so that future requests for it can be satisfied more quickly. The CPU in a computer uses a hardware cache to hold recently-accessed values; many programs rely on a software cache to reduce network traffic and latency. Figuring out when something in a cache is out-of-date and should be replaced is one of the two hard problems in computer science.
caching	To save a copy of some data in a local cache to make future access faster.
call stack	A data structure that stores information about the subroutines currently being executed.
callback function	A function A that is passed to another function B so that B can call it at some later point. Callbacks can be used synchronously, as in generic functions like `map` that invoke a callback function once for each element in a collection, or asynchronously, as in a client that runs a callback when a response is received in answer to a request.
callback hell	Nested callbacks indented so deep the closing brackets cascade like a staircase to nowhere. The actual logic hides somewhere around indent level five.
camel case	A style of writing code that involves naming variables and objects with no space, underscore (`_`), dot (`.`), or dash (`-`) characters, with each word being capitalized. Examples include `CalculateSum` and `findPattern`.
cascading style sheets	A way to control the appearance of HTML. CSS is typically used to specify fonts, colors, and layout.
catch (an exception)	To accept responsibility for handling an error or other unexpected event. R prefers "handling a condition" to "catching an exception." Python, on the other hand, encourages raising and catching exceptions, and in some situations, requires it.
causation	A relationship between distinct events, where it is asserted that one event is responsible for producing or affecting change in the other.
cc-0	A Creative Commons license waiver that imposes no restrictions whatsover, thereby putting a work in the public domain.
cc-by	The Creative Commons - Attribution license, which requires people to give credit to the author of a work, but imposes no other restrictions.
central processing unit	The principal hardware of any digital computer. The CPU constitutes the essential electronic circuitry that interprets and executes instructions from the software or other hardware. Also called a central processor, main processor, or microprocessor.
centroid	The center or anchor of a group created by a clustering algorithm.
character encoding	A specification of how characters are stored as bytes. The most commonly-used encoding today is UTF-8.
chi-square test	A statistical method for estimating whether two variables in a cross tabulation are correlated. A chi-square distribution varies from a normal distribution based on the degrees of freedom used to calculate it.
child (in a tree)	A node in a tree that is below another node (call the parent).
child class	In object-oriented programming, a class derived from another class (called the parent class).
class	In object-oriented programming, a structure that combines data and operations (called methods). The program then uses a constructor to create an object with those properties and methods. Programmers generally put generic or reusable behavior in parent classes, and more detailed or specific behavior in child classes.
class imbalance	Class imbalance refers to the problem in machine learning where there is an unequal distribution of classes in the dataset.
classification	The process of identifying which predefined category an item belongs to, such as deciding whether an email message is spam or not. Many machine learning algorithms perform classification.
clever code	Code that works but makes you feel stupid for not understanding it. Reinvented built-ins, abused language quirks, logic compacted into one-liners that nobody else can maintain.
client	Typically, a program such as a web browser that gets data from a server and displays it to, or interacts with, users. The term is used more generally to refer to any program A that makes requests of another program B. A single program can be both a client and a server.
closure	A set of variables defined in the same scope whose existence has been preserved after that scope has ended.
clustering	The process of dividing data into groups when the groups themselves are not known in advance.
code coverage (in testing)	How much of a library or program is executed when tests run. This is normally reported as a percentage of lines of code: for example, if 40 out of 50 lines in a file are run during testing, those tests have 80% code coverage.
code review	To check a program or a change to a program by inspecting its source code.
coercion	See type coercion.
cognitive load	The amount of working memory needed to accomplish a set of simultaneous tasks.
collection	An abstract data type that groups an arbitrary, variable number of data items (possibly zero), to allow processing them in a uniform fashion. Common examples of collections are lists, variable-size arrays and sets. Fixed-size arrays are usually not considered collections.
combinatorial explosion	Dozens of methods that do almost the same thing, each differing by one small detail. Add a new feature and the count multiplies again. Good luck remembering which variant handles which edge case.
comma-separated values	A text format for tabular data in which each record is one row and fields are separated by commas. There are many minor variations, particularly around quoting of strings.
command	An instruction telling a computer program to perform a specific task.
command history	An automatically created list of previously executed commands. Most read-eval-print loops (REPLs), including the Unix shell, record history and allow users to play back recent commands.
command-line argument	A filename or control flag given to a command-line program when it is run.
command-line interface	A user interface that relies solely on text for commands and output, typically running in a shell.
comment	Text written in a script that is not treated as code to be run, but rather as text that describes what the code is doing. These are usually short notes, often beginning with a `#` (in many programming languages).
commit	As a verb, the act of saving a set of changes to a database or version control repository. As a noun, the changes saved.
commit message	A comment attached to a commit that explains what was done and why.
compile	To translate textual source into another form. Programs in compiled languages are translated into machine instructions for a computer to run, and Markdown is usually translated into HTML for display.
compiled language	Originally, a language such as C or Fortran that is translated into machine instructions for execution. Languages such as Java are also compiled before execution, but into byte code instead of machine instructions, while interpreted languages like Python are compiled to byte code on the fly.
compiler	An application that translates programs written in some languages into machine instructions or byte code.
complicated boolean expression	Reading it feels like solving a discrete math problem. The if-statement just checks whether a timer expired, but between the negations and conjunctions, you'd never guess that at a glance.
complicated regex expression	A regex pattern so dense it needs an online decomposer to parse. Named variables and a builder function would make the same expression self-documenting.
comprehensive r archive network	A public repository of R packages.
computational linguistics	The study or application of computational methods for parsing or understanding human languages. Early approaches were algorithmic; most modern approaches are statistical.
computational notebook	A combination of a document format that allows users to mix prose and code in a single file, and an application that executes that code interactively and in place. The Jupyter Notebook and R Markdown files are both examples of computational notebooks.
compute shader	A general purpose shader program for use in parallel processing. Often used for machine learning, simulations, and other fields which benifit from parallel computation.
concatenate	In general programming, to join two strings or collections together. In terms of data tables (for example, a python pandas DataFrame or R tibble), append/stack two tables by either columns (axis=1) or rows (axis=0) by end-to-end joining of data.
conda	A package manager and environment management system, particularly popular for Python programs.
condition	An error or other unexpected event that disrupts the normal flow of control.
conditional complexity	The if/else chain that grows a new branch with every feature. First it's readable. Then it's manageable. Then it's a 200-line switch statement, and suddenly the polymorphism refactor everyone avoided is the only option left.
conditional expression	A ternary expression that serves the role of an if/else statement. For example, C and similar languages use the syntax `test : ifTrue ? ifFalse` to mean "choose the value `ifTrue` if `test` is true, or the value `ifFalse` if it is not."
confidence interval	A range around an estimate that indicates the margin of error, combined with a probability that the actual value falls in that range.
configuration file	A file that specifies the parameters and initial settings of a software program. Configuration, or config, files are often used for information subject to changes, such as environment-specific settings.
confusion matrix	A NxN matrix that describes the performance of a classification model, where N is the number of classes or outputs. Each row in the matrix represents the instances of actual classes and each column represents the predicted classes. For a binary classification model the confusion matrix gives the True Positives (TP), False Negatives (FN), False Positives (FP) and True Negatives (TN) in the 1st, 2nd, 3rd and 4th quadrants, respectively. The table can be used to calculate Accuracy, Sensitivity and Specificity amongst other measures of the model.
console	A computer terminal where a user may enter commands, or a program, such as a shell that simulates such a device.
constant	A constant in programming is a name associated with a value that never changes during the execution of a program. You can only access the constant’s value but not change it over time, as opposed to a variable
constructor	A function that creates an object of a particular class. In the S3 object system, constructors are a convention rather than a requirement.
context window	The maximum number of tokens an LLM can process in a single interaction, including both input and output.
continuation prompt	A prompt that indicates that the command currently being typed is not yet complete, and will not be run until it is.
continuous integration	A software development practice in which changes are automatically merged as soon as they become available.
continuous random variable	A variable whose value can be any real value, either within a range, or unbounded, such as age or distance.
control flow	The logical flow through a program's code. May be linear (i.e. just a series of commands), but may also include loops or conditional execution (i.e. if a condition is met).
convolutional neural network (cnn)	A class of artificial neural network that is primarily used to analyze images. A CNN has layers that perform convolutions, where a filter is shifted over the data, instead of the general matrix multiplications that we see in fully connected neural network layers.
copy-on-modify	The practice of creating a new copy of aliased data whenever there is an attempt to modify it so that each reference will believe theirs is the only one.
correlation	A measure of how well two variables agree with each other. Correlation is usually measured by calculating a correlation coefficient, and does not imply causation.
correlation coefficient	A measure of how well-correlated two variables are. If the correlation coefficient between X and Y is 1.0, knowing X allows perfect prediction of Y. If the correlation coefficient is 0.0, knowing X tells you nothing about Y, and if it is -1.0, then X predicts Y, but a change in X causes an opposite change in Y.
covariance	How well two variables agree with each other. The correlation coefficient is a normalized measure of covariance.
creative commons license	A set of licenses that can be applied to published work. Each license is formed by concatenating one or more of `-BY` (Attribution): users must cite the original source; `-SA` (ShareAlike): users must share their own work under a similar license; `-NC` (NonCommercial): work may not be used for commercial purposes without the creator's permission; `-ND` (NoDerivatives): no derivative works (e.g., translations) can be created without the creator's permission. Thus, `CC-BY-NC` means "users must give attribution and cannot use commercially without permission." The term `CC-0` (zero, not letter 'O') is sometimes used to mean "no restrictions," i.e., the work is in the public domain.
cross join	A join that produces all possible combinations of rows from two tables.
cross-validation	A technique that divides data into training data and test data. The training data and correct answers are used to find parameters, and the algorithm's effectiveness is then measured by examining the answers it gives on the test data.
cryptographic hash function	A hash function that produces a random value for any input.
current working directory	The folder or directory location in which the program operates. Any action taken by the program occurs relative to this directory.
data clump	red, green, and blue passed separately to every function that needs a color. The same variables travel together everywhere, never packaged into the object they're quietly begging to become.
data collison	Occurs when two or more devices or nodes try to transmit signals at the same time on the same network. Similarly a data collision can also occur when hashing if two distinct pieces of data have the same hash value.
data engineer	Someone who sets up and runs data analyses. Data engineers are often responsible for installing software, managing databases, generating reports, and archiving results.
data engineering	The pragmatic steps taken to make data usable, such as writing short programs to put mailing addresses in a uniform format.
data frame	A two-dimensional data structure for storing tabular data in memory. Rows represent records and columns represent variables.
data masking	Altering data in a dataset to anonymize or otherwise remove identifying information. For example, real names might be swapped out with fictional names to provide name-based data without referencing actual people.
data mining	The use of computers to search for patterns in large datasets. The term data science is now more commonly used.
data package	A software package that, mostly, contains only data. Is used to make it simpler to disseminate data for easier use.
data science	The combination of statistics, programming, and hard work used to extract knowledge from data.
data scientist	Someone who uses programming skills to solve statistical problems.
data structure	A format for the organisation, management, and efficient access of data. Typically it will characterise a set of data values and their representation (or encoding), the relationships between values, and ways to access or manipulate those data, such as reading, altering, or writing.
data visualization	The creation of charts, maps, graphs, or infographics to translate datasets into something visual. Sometimes called "dataviz" or "data viz."
data wrangling	A colloquial name for small-scale data engineering.
dead code	You read past it wondering if it's safe to delete. Unreachable branches, commented-out blocks, functions that last ran in 2019. They cost nothing at runtime but tax every developer who encounters them.
debug	In a computer environment 'debug' refers to the process of finding and resolving errors (also known as 'bugs') within computer programs or systems.
decision tree	A tree whose nodes are questions and whose branches eventually lead to a decision or classification.
decorator pattern	A design pattern in which a function adds additional features to another function or a class after its initial definition. Decorators are a feature of Python and can be implemented in most other languages as well.
decrement	A unary operation that decreases the value of a variable, usually by 1.
deep learning	A family of neural network algorithms that use multiple layers to extract features at successively higher levels.
default target	The build target that is used when none is specified explicitly.
default value	A value assigned to a function parameter when the caller does not specify a value. Default values are specified as part of the function's definition.
defensive programming	A set of programming practices that assumes mistakes will happen and either reports or corrects them, such as inserting assertions to report situations that are not ever supposed to occur.
degrees of freedom	In statistics, the degrees of freedom (often "DF") is a measure of how much independent information, in the form data and calculations, has been combined to produce a given statistical parameter. Put another way, the DF is the number of values that are free to vary in the calculation of a given statistical parameter. For a statistic calculated from data which are indepdendent (i.e., the values are uncorrelated), the DF can be generally estimated as the sample size minus the number of individual parameters calculated to obtain the final statistic.
delegate pattern	A design pattern in which an object does most of the work to complete a task, but uses one of a set of other objects to complete some specific parts of the work. Delegation is often used instead of inheritance to customize objects' behavior.
dependency	See prerequisite.
dependent variable	A variable whose value depends on the value of another variable, which is called the independent variable.
depth first	To go through a nested data structure such as a tree by going as far as possible down one path, then as far as possible down the next and so on, or to explore a problem by following one solution to its conclusion and then trying the next.
design pattern	A recurring pattern in software design that is specific enough to be worth naming, but not so specific that a single best implementation can be provided by a library. For example, data frames and database tables are instances of the same pattern.
destructuring assignment	Unpacking values from data structures and assigning them to multiple variables in a single statement.
dictionary	A data structure that allows items to be looked up by value, sometimes called an associative array. Dictionaries are often implemented using hash tables.
digital object identifier	A unique persistent identifier for a book, paper, report, dataset, software release, or other digital artefact.
dimension reduction	Reducing the number of dimensions in a dataset, typically by finding the dimensions along which it varies most.
directory	An item within a filesystem that can contain files and other directories. Also known as a folder.
discrete random variable	A variable whose value can take on only one of a fixed set of values, such as true or false.
distro	See software distribution.
divergent change	A class that changes for database reasons on Monday, calculation reasons on Wednesday, and display reasons on Friday. Same file, different reasons, and the merge conflicts pile up every sprint.
docstring	Short for "documentation string," a string appearing at the start of a module, class, or function in Python that automatically becomes that object's documentation.
document object model	A standard, in-memory representation of HTML and XML. Each element is stored as a node in a tree with a set of named attributes; contained elements are child nodes. Modern programming languages provide many libraries for searching and modifying the DOM.
documentation generator	A software tool that extracts specially formatted comments or dostrings from code and generates cross-referenced developer documentation.
dom selector	A pattern that identifies nodes in a DOM tree. For example, `#alpha` matches nodes whose `id` attribute is "alpha", while `.beta` matches nodes whose `class` attribute is "beta".
domain knowledge	Understanding of a specific problem domain, e.g., knowledge of transportation logistics.
don't repeat yourself principle	The Don't Repeat Yourself (DRY) principle states that — Every piece of knowledge must have a single, unambiguous, authoritative representation within a system. The term comes from The Pragmatic Programmer, by Andrew Hunt and David Thomas. Programs that follow the DRY Principle avoid duplication of definitions and logic, so that a change in their behaviour only requires each modification to be made in one part of the code. The goal is to create code that is easier to maintain.
double	Short for "double-precision floating-point number", meaning a 64-bit numeric value with a fractional part and an exponent.
double square brackets	An index enclosed in `[[...]]`, used to return a single value of the underlying type.
down-vote	A vote against something.
dubious abstraction	A method that orchestrates a business workflow but also opens its own database connection, mixing strategy with plumbing until you can't tell what level of abstraction you're reading.
duplicated code	The same logic in five places. Change one, miss another, and watch the behavior quietly diverge. According to Fowler, this is the single worst smell in a codebase.
dynamic loading	To import a module into the memory of a program while it is already running. Most interpreted languages use dynamic loading, and provide tools so that programs can find and load modules dynamically to configure themselves.
dynamic lookup	To find a function or a property of an object by name while a program is running. For example, instead of getting a specific property of an object using `obj.name`, a program might use `obj[someVariable]`, where `someVariable` could hold `"name"` or some other property name.
dynamic scoping	To find the value of a variable by looking at what is on the call stack at the moment the lookup is done. Almost all programming languages use lexical_scoping instead, since it is more predictable.
edge	A connection between two nodes in a graph. An edge may have data associated with it, such as a name or distance.
electronic mail	Electronic mail is a method for delivering messages between people over a computer network. Messages are sent via an SMTP server and retrieved using either an IMAP or POP server.
element	A named component in an HTML or XML document. Elements are usually written `<name>`...`</name>`, where "..." represents the content of the element. Elements often have attributes.
emacs (editor)	A text editor that is popular among Unix programmers.
embeddings	Dense vector representations of text that capture semantic meaning.
empty element	An element of an HTML or XML document that has no children. Empty elements can always be written as `<name></name>`, but may also be written using the shorthand notation `<name/>` (with a slash after the name inside the angle brackets).
empty vector	A vector that contains no elements. Empty vectors have a type such as logical or character, and are *not* the same as null.
encoding	The process of putting a sequence of characters such as letters, numbers, punctuation, and certain symbols, into a specialized format for efficient transmission or storage.
environment	A structure that stores a set of variable names and the values they refer to.
epoch (deep learning)	In deep learning, an epoch is one cycle in the deep learning process where all the training data has been fed to the algorithm once. Training a deep neural networks usually consists of multiple epochs.
error (in a test)	Signalled when something goes wrong in a unit test itself rather than in the system being tested. In this case, we do not know anything about the correctness of the system.
error handling	What a program does to detect and correct for errors. Examples include printing a message and using a default configuration if the user-specified configuration cannot be found.
escape sequence	A sequence of characters added as a prefix to some other character that would otherwise have a special meaning, temporarily altering the meaning of the character. For example, the escape sequence `\"` is used to represent a double-quote character inside a double-quoted string.
evaluation	The process of taking an expression such as `1+2*3/4` and turning it into a single, irreducible value.
exception	An object that stores information about an error or other unusual event in a program. One part of a program will create and raise an exception to signal that something unexpected has happened; another part will catch it.
exception handler	A piece of code that deals with an exception after it is caught, e.g., by writing a log message, retrying the operation that failed, or performing an alternate operation.
expected result (of test)	The value that a piece of software is supposed to produce when tested in a certain way, or the state in which it is supposed to leave the system.
exploratory programming	A software development methodology in which requirements emerge or change as the software is being written, often in response to results from early runs.
export	To make something visible outside a module so that other parts of a program can import it. In most languages a module must export things explicitly in an attempt to avoid name collision.
fail (a test)	A test fails if the actual result does not match the expected result.
fallacious comment	A comment that was true once but now lies. The code changed, the comment didn't, and there's no linter that catches the drift.
fallacious method name	getItems() returns a single item. isValid() returns a string. setValue() quietly returns a value too. Method names that betray every convention programmers have built over decades.
false	The logical (Boolean) state opposite of "true". Used in logic and programming to represent a binary state of something.
false negative	Data points which are actually true but incorrectly predicted as false.
false positive	Data points which are actually false but incorrectly predicted as true.
falsy	Evaluating to false in a Boolean context.
fasta	A file format for storing amino acid or genomic sequence information. Information for each sequence is broken up into a block of 2 lines. Line 1 contains information about the sequence and begins with a greater than symbol, ‘>’. Line 2 contains the actual amino acid or genomic sequence using single-letter codes.
fastq	A file format for storing genomic sequence information and the corresponding quality scores. Information for each sequence is broken up into a block of four lines. Line 1 contains information about the sequence and begins with ‘@’. Line 2 contains the actual genomic sequence using single-letter codes to represent nucleotides. Line 3 is a separator that begins with a `+`. Line 4 has a string of quality characters for each base in the genomic sequence.
fate over action	A class that holds data but owns none of the behavior operating on it. External code reaches in, pulls values out, and makes decisions the object never learned to make for itself.
feature	An individual characteristic or property of a phenomenon that is measurable (e.g. length, height, number of petals) and used as the input to a model. Finding or selecting features that are highly independent and discriminatory is a fundamental part of classification.
feature (in data)	A variable or observable in a dataset.
feature (in software)	Some aspect of software that was deliberately designed or built. A bug is an undesired feature.
feature branch	A branch within a Git repository containing commits dedicated to a specific feature, e.g., a bug fix or a new function. This branch can be merged into another branch.
feature engineering	The process of choosing the variables to be used as inputs to a model. Choosing good features often depends on domain knowledge.
feature envy	A method that touches another class's fields more than its own. It was written in the wrong place and belongs closer to the data it can't stop reaching for.
feature request	A request to the maintainers or developers of a software program to add a specific functionality (a feature) to that program.
field	A component of a record containing a single value. Every record in a tibble or database table has the same fields.
filename extension	The last part of a filename, usually following the '.' symbol. Filename extensions are commonly used to indicate the type of content in the file, though there is no guarantee that this is correct.
filename stem	The part of the filename that does not include the extension. For example, the stem of `glossary.yml` is `glossary`.
filesystem	The part of the operating system that manages how files are stored and retrieved. Also used to refer to all of those files and directories or the specific way they are stored (as in "the Unix filesystem").
filter	As a verb, to choose a set of records (i.e., rows of a table) based on the values they contain. As a noun, a command-line program that reads lines of text from files or standard input, performs some operation on them (such as filtering), and writes to a file or stdout.
fine-tuning	Adapting a pre-trained model to specific tasks or domains using smaller, task-specific datasets.
fine-tuning (deep learning)	Fine-tuning is an approach to transfer learning in which a pre-trained network is adapted to the specifics of a new dataset.
fixture	The thing on which a test is run, such as the parameters to the function being tested or the file being processed.
flag argument	A boolean parameter that forces the caller to write book(marcel, false) — and everyone who reads it to wonder: false what?
folder	Another term for a directory.
for loop	A construct in a program that repeats one or more other statements (the loop body) once for each item in a sequence, such as each number in a range or each element of a list.
fork	A copy of one person's Git repository that lives in another person's GitHub account. Changes to the content of a fork can be submitted to the upstream repository via a pull request.
fragment shader	The shader stage in the rendering pipeline designated towards calculating colours for each fragment on the screen. For each pixel covered by a primitive, a fragment is generated. All fragments for each pixel will have their colours combined based on depth and opacity after the fragment shader stage is complete.
frequently asked questions	A curated list of questions commonly asked about a subject, along with answers.
full identifier (of a commit)	A unique 160-bit identifier for a commit in a Git repository, usually written as a 20-character hexadecimal character string.
full join	A join that returns all rows and all columns from two tables A and B. Where the keys of A and B match, values are combined; where they do not, missing values from either table are filled with null, NA, or some other missing value signifier.
fully-qualified name	An unambiguous name of the form `package::thing`, indicating the original source of the object in question.
function	A code block which gathers a sequence of operations into a whole, preserving it for ongoing use by defining a set of tasks that takes zero or more required and optional arguments as inputs and returns expected outputs (return values), if any. Functions enable repeating these defined tasks with one command, known as a function call.
function calling / tool use	Capability allowing LLMs to invoke external functions or APIs with structured parameters.
functional programming	A style of programming in which data is transformed through successive application of functions, rather than by using control structures such as loops. In functional programming, there must be a direct relationship between the input to a function and the output produced by the function, meaning the result should not be affected by the current values of global variables or other parts of the global program state. It also requires that functions do not produce side effects, meaning they do not modify the global program state, or do anything other than computing the return value, such as writing output to a log file, or printing to the console.
garbage in, garbage out	The idea that messy data as an input will result in messy data as an output.
